"PID", "Creator", "Object title", "Type", "Format", "Licence/Copyright", "when", "notBefore", "notAfter", "OCM", "Internal keywords", "Image number", "Image 1", "Image 2", "Image 3", "Image 4", "Image 5", "Image 6", "Image 7", "Image 8", "Image 9", "Image 10", "Image 11", "Image 12", "Image 13", "Image 14", "Image 15", "Image 16", "Image 17", "Image 18", "Image 19" 
"o:vase.1078"," Jovanović, Milan "," Studio portrait of a woman and two girls ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1900 "," 1902 "," 292; 290; 300; 590; 850; 890 ","  "," 2 "," vase.1078-IMAGE.1.jpg "," vase.1078-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1079"," Jovanović, Milan "," Studio portrait of Dr. Nikolajević ","Photograph","Boudoir","Creative Commons [CC BY-NC-ND 3.0]"," 1908.03.19 "," "," "," 212; 210; 290; 300; 462; 460; 5311; 530; 551; 550; 554; 560; 640; 650; 660; 741; 740; 810; 870 ","  "," 2 "," vase.1079-IMAGE.1.jpg "," vase.1079-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.108"," Karastoyanov, Dimitar Anastasov "," Studio portrait of Olga Kalmanson ","Photograph","Carte de visite","Creative Commons [CC BY-NC-ND 3.0]"," "," 1892 "," 1912.12 "," 290; 300; 551; 550; 572; 570 ","  "," 2 "," vase.108-IMAGE.1.jpg "," vase.108-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1080"," Jovanović, Milan "," Studio portrait of Lujka Vlajić ","Photograph","Boudoir","Creative Commons [CC BY-NC-ND 3.0]"," 1910.05.09 "," "," "," 282; 280; 300; 5311; 530; 551; 550; 554; 560; 572; 570; 820 ","  "," 2 "," vase.1080-IMAGE.1.jpg "," vase.1080-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1081"," Jovanović, Milan "," Studio portrait of a boy and a girl ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," 1895.05.19 "," "," "," 292; 290; 300; 590; 850 ","  "," 2 "," vase.1081-IMAGE.1.jpg "," vase.1081-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1082"," Jovanović, Milan "," Studio portrait of Zorka Vlajić ","Photograph","Promenade","Creative Commons [CC BY-NC-ND 3.0]"," 1910.01.15 "," "," "," 292; 290; 300; 462; 460; 551; 550; 554; 560; 741; 740; 748; 890 ","  "," 2 "," vase.1082-IMAGE.1.jpg "," vase.1082-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1083"," Jovanović, Milan "," Studio portrait of a young teacher and her students ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," 1906.05.05 "," "," "," 190; 290; 300; 462; 460; 551; 550; 554; 560; 570; 590; 870 ","  "," 2 "," vase.1083-IMAGE.1.jpg "," vase.1083-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1084"," Jovanović, Milan "," Studio portrait of Božidar Boco Vlajić ","Photograph","Malvern","Creative Commons [CC BY-NC-ND 3.0]"," 1906.05.08 "," "," "," 290; 300; 551; 550; 554; 650; 660; 890 ","  "," 2 "," vase.1084-IMAGE.1.jpg "," vase.1084-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1085"," Jovanović, Milan "," Zorka Vlajić with a child ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1887 "," 1890 "," 290; 300; 462; 460; 551; 550; 554; 560; 590; 650; 660; 741; 740; 748; 850; 890 ","  "," 2 "," vase.1085-IMAGE.1.jpg "," vase.1085-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1086"," Jovanović, Milan "," Studio portrait of a young teacher and her students ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1898 "," 1900 "," 190; 290; 300; 462; 460; 5311; 530; 551; 550; 554; 560; 570; 590; 850; 870; 890 ","  "," 2 "," vase.1086-IMAGE.1.jpg "," vase.1086-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
