"PID", "Creator", "Object title", "Type", "Format", "Licence/Copyright", "when", "notBefore", "notAfter", "OCM", "Internal keywords", "Image number", "Image 1", "Image 2", "Image 3", "Image 4", "Image 5", "Image 6", "Image 7", "Image 8", "Image 9", "Image 10", "Image 11", "Image 12", "Image 13", "Image 14", "Image 15", "Image 16", "Image 17", "Image 18" 
"o:vismig.m.2017.1","Ritopečki, Jovan"," Visit of worker’s accommodation "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S018; S025; S037 "," 7 "," 2017_img1.jpg "," 2017_img2.jpg "," 2017_img3.jpg "," 2017_img4.jpg "," 2017_img5.jpg "," 2017_img6.jpg "," 2017_img7.jpg "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2017.2","Ritopečki, Jovan"," Visit of worker’s training facilities "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S004; S011 "," 18 "," 2017_img8.jpg "," 2017_img9.jpg "," 2017_img10.jpg "," 2017_img11.jpg "," 2017_img12.jpg "," 2017_img13.jpg "," 2017_img14.jpg "," 2017_img15.jpg "," 2017_img16.jpg "," 2017_img17.jpg "," 2017_img18.jpg "," 2017_img19.jpg "," 2017_img20.jpg "," 2017_img21.jpg "," 2017_img22.jpg "," 2017_img23.jpg "," 2017_img24.jpg "," 2017_img25.jpg " 
"o:vismig.m.2017.3","Ritopečki, Jovan"," Visit of worker’s social club (YU club?) "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S010; S011; S024; S036 "," 8 "," 2017_img26.jpg "," 2017_img27.jpg "," 2017_img28.jpg "," 2017_img29.jpg "," 2017_img30.jpg "," 2017_img31.jpg "," 2017_img32.jpg "," 2017_img33.jpg "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2017.4","Ritopečki, Jovan"," Women in classroom "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S009 "," 1 "," 2017_img15.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2017.5","Ritopečki, Jovan"," Worker is speaking "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S004; S011; S018; S024 "," 6 "," 2017_img16.jpg "," 2017_img18.jpg "," 2017_img19.jpg "," 2017_img20.jpg "," 2017_img24.jpg "," 2017_img25.jpg "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2017.6","Ritopečki, Jovan"," An adress/speech by delegation members to workers "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S004; S018 "," 10 "," 2017_img8.jpg "," 2017_img9.jpg "," 2017_img10.jpg "," 2017_img11.jpg "," 2017_img12.jpg "," 2017_img13.jpg "," 2017_img14.jpg "," 2017_img17.jpg "," 2017_img21.jpg "," 2017_img22.jpg "," "," "," "," "," "," "," "," " 
"o:vismig.m.2018.1","Ritopečki, Jovan"," A group of people is waiting in front of a building "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S003; S021; S039 "," 6 "," 2018_img2.jpg "," 2018_img3.jpg "," 2018_img4.jpg "," 2018_img5.jpg "," 2018_img6.jpg "," 2018_img7.jpg "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2018.2","Ritopečki, Jovan"," Building entrance and inscriptions "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S003; S021; S039 "," 4 "," 2018_img8.jpg "," 2018_img9.jpg "," 2018_img10.jpg "," 2018_img11.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2019.1","Ritopečki, Jovan"," Two nurses taking care of a patient "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S009; S039 "," 8 "," 2019_img6.jpg "," 2019_img7.jpg "," 2019_img8.jpg "," 2019_img9.jpg "," 2019_img10.jpg "," 2019_img11.jpg "," 2019_img12.jpg "," 2019_img13.jpg "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2019.2","Ritopečki, Jovan"," A nurse is taking care of a patient "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S009; S039 "," 8 "," 2019_img14.jpg "," 2019_img15.jpg "," 2019_img16.jpg "," 2019_img17.jpg "," 2019_img18.jpg "," 2019_img19.jpg "," 2019_img20.jpg "," 2019_img21.jpg "," "," "," "," "," "," "," "," "," "," " 
